,name,reaction_rate,time_to_react
496733.0,Joe Haden,"[0.5773076923076924, 0.5581395348837209, 0.33305555555555544, 0.23076923076923078, 0.4523809523809523, 0.2894736842105263, 0.16666666666666663, 0.1318421052631578, 0.3235294117647058, 0.39971428571428574, 0.6002857142857142, 0.15789473684210525, 0.19071428571428567]","[0.1, 0.1, 0.0, 0.1, 0.5, 0.0, 0.4, 0.2, 0.0, 0.0, 0.0, 0.0, 0.1]"
2532946.0,Coty Sensabaugh,"[0.8611111111111112, 0.4617948717948717, 0.2621428571428571, 0.736842105263158, 0.5002380952380951, 0.5526315789473684, 0.5, 0.6002857142857142, 0.31605263157894736, 0.05499999999999994]","[0.5, 0.8, 0.0, 0.9, 0.0, 1.1, 0.1, 0.0, 0.4, 0.0]"
2539978.0,Jon Bostic,"[0.46533333333333304, 0.8518518518518519, 0.5581395348837209, 0.41638888888888886, 0.8717948717948718, 0.5002380952380951, 0.6313157894736843, 0.526578947368421, 0.5, 0.35323529411764687, 0.39971428571428574, 0.7714285714285715, 0.5263157894736841, 0.05499999999999994]","[0.0, 0.0, 0.1, 0.30000000000000004, 0.5, 0.8, 0.9, 1.1, 0.1, 0.1, 0.0, 0.0, 0.8, 0.0]"
2540221.0,Vince Williams,"[0.10891304347826085, 0.5816279069767442, 0.8205128205128205, 0.2621428571428571, 0.2894736842105263, 0.3333333333333332, 0.21052631578947364, 0.5, 0.3235294117647058, 0.39971428571428574, 0.7142857142857143, 0.2894736842105263]","[0.2, 0.1, 1.3, 0.0, 0.0, 0.4, 0.2, 0.1, 0.0, 0.0, 0.30000000000000004, 0.30000000000000004]"
2552289.0,Bud Dupree,"[0.33305555555555544, 0.38461538461538464, 0.2894736842105263, 0.476190476190476, 0.5, 0.3235294117647058, 0.39971428571428574, 0.6002857142857142, 0.17892857142857138, 0.05499999999999994]","[0.0, 0.0, 0.0, 0.5, 0.1, 0.0, 0.0, 0.0, 0.5, 0.0]"
2555386.0,Sean Davis,"[0.6511627906976744, 0.33305555555555544, 0.59, 0.2621428571428571, 0.4997368421052632, 0.2142857142857142, 0.18447368421052626, 0.5, 0.3235294117647058, 0.39971428571428574, 0.6002857142857142, 0.15789473684210525]","[0.0, 0.0, 0.2, 0.0, 0.1, 0.4, 0.4, 0.1, 0.0, 0.0, 0.0, 0.0]"
2556559.0,Mike Hilton,"[0.3335897435897436, 0.5002380952380951, 0.42105263157894746, 0.6666666666666663]","[0.1, 0.0, 0.7000000000000001, 0.0]"
2560712.0,Terrell Edmunds,"[0.41666666666666646, 0.5, 0.6473529411764706, 0.42857142857142855, 0.6002857142857142, 0.36868421052631584, 0.018703703703703535]","[1.2000000000000002, 0.1, 0.5, 0.1, 0.0, 0.5, 0.1]"
2558064.0,T.J. Watt,"[0.5581395348837209, 0.10526315789473675, 0.7897368421052631, 0.3235294117647058, 0.39971428571428574, 0.6002857142857142, 0.2371052631578948, 0.36666666666666653]","[0.1, 0.1, 0.7000000000000001, 0.0, 0.0, 0.0, 0.2, 0.0]"
2505708.0,Mike Adams,"[0.5726363636363639, 0.8987640449438203, 0.6629213483146067, 0.24949999999999997, 0.5918367346938775, 0.5121951219512196, 0.4420930232558139, 0.7073170731707317, 0.578, 0.6172340425531915, 0.2127659574468085, 0.48599999999999993, 0.2, 0.21875, 0.0964516129032257]","[0.7000000000000001, 0.2, 0.5, 0.30000000000000004, 1.3, 0.0, 0.1, 0.0, 0.0, 0.1, 0.30000000000000004, 0.1, 0.0, 0.1, 0.0]"
2506352.0,Thomas Davis,"[0.7052678571428574, 0.6740449438202246, 0.6740449438202246, 0.21975609756097556, 0.5432608695652174, 0.8780487804878047, 0.5319148936170213]","[0.4, 0.5, 0.6000000000000001, 0.0, 0.6000000000000001, 2.3000000000000003, 0.30000000000000004]"
2533056.0,Luke Kuechly,"[0.7582758620689657, 0.7302247191011235, 0.7752808988764045, 0.6657142857142857, 0.7142857142857143, 0.43902439024390244, 0.4420930232558139, 0.6519565217391304, 0.578, 0.4893617021276595, 0.5529787234042552, 0.2499999999999999, 0.12903225806451607]","[0.2, 0.6000000000000001, 1.1, 0.7000000000000001, 1.3, 0.9, 0.1, 0.7000000000000001, 0.0, 0.1, 1.2000000000000002, 0.1, 0.1]"
2540152.0,Eric Reid,"[0.7458730158730162, 0.6067415730337079, 0.707752808988764, 0.6517391304347826, 0.632857142857143, 0.21975609756097556, 0.4420930232558139, 0.6519565217391304, 0.5853658536585366, 0.578, 0.44702127659574464, 0.4465957446808511, 0.48599999999999993, 0.2]","[0.0, 0.0, 0.9, 1.2000000000000002, 0.30000000000000004, 0.0, 0.1, 0.1, 0.6000000000000001, 0.0, 0.0, 0.8, 0.1, 0.0]"
2555175.0,James Bradberry,"[1.0158064516129033, 0.6067415730337079, 0.8201123595505619, 0.21699999999999994, 0.4420930232558139, 0.391086956521739, 0.2682926829268291, 0.578, 0.7872340425531915, 0.48599999999999993, 0.2, 0.21875, 0.5803225806451613]","[4.9, 0.0, 1.3, 0.6000000000000001, 0.1, 0.0, 1.3, 0.0, 0.8, 0.1, 0.0, 0.1, 1.2000000000000002]"
2560753.0,Donte Jackson,"[0.47150943396226447, 0.8762921348314606, 0.6178651685393258, 0.3325925925925924, 0.3160526315789472, 0.21975609756097556, 0.7391304347826085, 0.14634146341463405, 0.6891111111111111, 0.44702127659574464, 0.10638297872340426, 0.48599999999999993, 0.2803999999999999, 0.21875, 0.0964516129032257, 0.2777777777777777]","[0.7000000000000001, 0.0, 0.30000000000000004, 0.2, 0.1, 0.0, 1.3, 0.4, 0.2, 0.0, 0.0, 0.1, 0.2, 0.1, 0.0, 0.4]"
80668.0,Captain Munnerlyn,"[0.6421428571428575, 0.4420930232558139, 0.4345652173913043, 0.487560975609756, 0.578, 0.44702127659574464, 0.2976595744680851, 0.48599999999999993, 0.24, 0.21875, 0.2254838709677418]","[0.8, 0.1, 0.1, 1.8, 0.0, 0.0, 0.8, 0.1, 0.0, 0.1, 0.0]"
496727.0,Morgan Burnett,"[0.2920833333333332, 0.5581395348837209, 0.33305555555555544, 0.4617948717948717, 0.35714285714285715, 0.26214285714285707, 0.5526315789473685, 0.45238095238095255]","[0.5, 0.1, 0.0, 0.6000000000000001, 0.2, 0.7000000000000001, 1.1, 0.0]"
2552266.0,Anthony Chickillo,"[0.5581395348837209, 0.33305555555555544, 0.42880952380952386, 0.42105263157894735, 0.26214285714285707, 0.05499999999999994]","[0.1, 0.0, 0.5, 0.30000000000000004, 0.4, 0.0]"
2552447.0,Shaq Thompson,"[0.2666666666666666, 0.6587804878048782, 0.4883720930232558, 0.48599999999999993, 0.2803999999999999, 0.5003124999999999]","[0.5, 0.0, 0.2, 0.1, 0.1, 0.4]"
2535613.0,L.J. Fort,[0.27620689655172403],[0.7000000000000001]
2560775.0,Rashaan Gaulden,[0.7727272727272724],[0.0]
2499257.0,Colin Jones,[],[]
2555171.0,Tyler Matakevich,[],[]
2555344.0,Artie Burns,[],[]
71441.0,Glover Quin,"[0.3457692307692308, 0.3939393939393939, 0.33333333333333326, 0.03413793103448264, 0.08571428571428572, 0.26644444444444443, 0.2768085106382978, 0.2553191489361702, 0.03740740740740737, 0.13513513513513511, 0.7333333333333333, 0.25925925925925924]","[0.2, 0.5, 0.0, 0.0, 0.0, 0.2, 0.1, 0.0, 0.0, 0.4, 0.0, 0.0]"
