name,coverage,nFlId
Anthony Walker,"[6.938151854231169, 5.957711110693362, 5.984113614128868, 5.074509991472915, 7.663097941176133, 7.286561418890673, 7.8135379891200625, 5.590154153137066, 5.155404723605943, 6.875676743590238]",2558851.0
Pierre Desir,"[2.211438365909388, 2.97504926269027, 4.285801656484476, 4.675663143245536, 2.1011548657051082, 3.239217219758523, 5.67284481188672, 6.264922895243083, 2.873086229404696, 3.6435603752608166, 3.7393449028482526, 4.573013407061246, 4.635221223654961, 2.329183226725932, 5.571499011331427, 1.6534151383421252, 1.774435278313442, 3.844916727294864, 13.080667062358293, 3.977056348155058, 4.023259166564564, 9.655718480095, 4.673335911228872, 4.688655014802772, 6.183354276320771, 1.5660207110081452, 5.448733155855741, 5.2866766323061025, 4.732130154913304, 4.9202920652620925, 5.441247154907144, 4.35944216359369, 4.82998310131887, 3.587163936149999, 6.97689207397822]",2543811.0
Clayton Geathers,"[16.209657812070475, 13.307912281813175, 6.895282308034819, 14.90330125441677, 17.049132424048423, 7.310082940026705, 14.299857387960735, 9.610065453495011, 1.8110681525268542, 12.97865104373862, 2.0210868798172656, 17.647884366648626, 9.169164492293959, 12.679019978755981, 9.093822377179453]",2552386.0
Malik Hooker,"[13.454275069900902, 14.346189100967763, 13.622271862222977, 11.060790979919247, 11.585951517733386, 12.150320321628783, 11.752263743051614, 10.773667403946053, 9.092697577466563, 13.985244827897397, 17.468371713311335, 10.247498879699563, 13.925934310957544, 12.050969617734562, 15.40288130639872, 14.111573950459276, 12.794605176960896, 13.354448992594962, 21.55682366035025, 11.979406415247713, 11.924534149745956, 9.212060447984193, 10.404794478003232, 11.390892594840711, 11.164174901555334, 16.297892477230196, 14.41961249878488, 15.624771523637474, 15.981572624237614, 15.162469951787678, 14.357735726086508, 17.898931198225824, 15.977652245689448, 13.98702119133133, 11.078887809229668]",2558060.0
Lenzy Pipkins,"[6.082488422871406, 7.942151192683123, 3.566776788142108, 5.158322624976616, 5.509124790191763, 5.491257648968935, 3.022221114995619, 3.5508297017915003, 1.1681135036604953, 4.748508060266847, 2.4154812928444813, 4.097082345013955, 5.486433806343351, 3.9139813567073514, 6.5386348228439735, 4.553699148725544, 4.703874529795615, 4.108757374021066, 8.930803242141078, 4.395423025552579, 5.840076297548665, 4.343524129859637, 6.867398906411092, 6.35453481740484, 2.8772098929333505, 3.2722837649384835, 5.066130886130776, 4.122082703126067, 3.91203687676982, 5.5377843510665805, 4.6691016245232415, 4.4135380140014115, 4.81799163447393, 8.123337986643426, 6.169889529342164]",2558988.0
Arthur Maulet,"[3.5691994467226356, 5.890514448688517, 4.702847125946657, 7.893114699617423, 3.380736748104715, 7.285775808444682, 7.220951118558982, 4.657412249672078, 2.829530705695229, 7.405668516226701, 1.402593757505073, 4.403649885223872, 7.185132785237173, 5.998581577813458, 4.409249891920795, 4.185924230583576, 3.745666036637649, 3.1366372452378437, 4.426230064026047, 2.6890608622237906, 5.024845405080055, 1.869009347945122, 3.939005578693302]",2559087.0
Zaire Franklin,"[9.864542360853203, 7.159580829419256, 8.913825943109114, 5.722702940856071, 3.692270489401322, 4.251396658250859, 6.554873300736547, 6.391251960258286, 3.8469858653673907, 6.1578463627304, 7.516891702367581, 8.482138967686488, 5.541143286489954, 4.970791246791838, 7.350594046499117, 5.2441669939895625, 7.714533824034809, 9.089993700835487, 8.48105213217263, 10.076227682116915, 4.783512840046546, 4.667105387911072, 5.695646811430424, 4.571775880538122, 8.24596817986151, 4.063269363985932, 5.3708337733785445, 4.234985986152307, 3.4873402626249677, 9.498055654931486, 6.535443904952151, 7.1947657821511966, 10.119028244723006, 9.889960149808415, 8.368981824904829]",2561155.0
Kyle Van Noy,"[3.040443259742821, 5.403025610026784, 2.238510030673982, 1.7042270459117734, 6.542336542782647, 6.350651794818516, 8.655747622813944, 7.718350910844136, 7.195419434324136, 8.019662455622473, 9.743234811166285, 10.549860883713295, 3.446827724133542, 5.187791664878322, 5.682425270553442, 5.054915722707656, 2.3139326482489726, 5.053894537142788, 9.862502160723464, 6.429996476838106, 5.21874126374586, 1.8600950500395432, 7.2874276645088925, 4.690357381452355, 2.1273302067878967, 4.912852011880929, 1.3757319639335495, 6.747684977402204, 5.27942418163673, 4.461871790971583, 6.383003418030414, 3.979400829549902, 7.8499434669226575, 4.898102895184229, 6.033052046887072, 3.0095251617776833, 1.1827694929101311, 5.138607099337722, 1.9073692906204998, 7.985210256892086, 5.377251575265883, 6.785145319479051, 2.6590555972073466]",2543699.0
Patrick Chung,"[8.181219475759583, 1.2326257337652007, 2.38478560324233, 14.221446747954735, 3.966369310956109, 5.028510690374059, 8.80558323849726, 1.2040620893083125, 2.3748546009960596, 4.80710801959068, 3.164715800934643, 2.502029442079847, 5.268670176939546, 6.740704942955603, 6.369297622055646, 11.818016126730305, 1.0762688835279912, 12.261664890422372, 7.568784018489797, 8.257997358295855, 1.3289818862620262, 3.435344374850619, 6.75076927159481, 6.875863134143301, 7.84595629207591, 2.437686760939493, 1.5000806212248141, 7.9876952365591425, 3.43015029302914, 6.202938174551089, 8.287800104754716, 1.189174680808601, 2.706987981073343, 12.465436439640767, 6.433000385235864, 1.2111193751955356, 10.253703038052334, 5.660686706167492, 3.0585313213453595, 9.710864601729911, 1.4272218129635863, 8.07348342071068, 1.40828067533734, 1.2315154768331225, 1.167123033799398, 2.6926599228313073]",71251.0
Jason McCourty,"[6.580338666475489, 1.5577966326390789, 1.9571227319061786, 2.15238599548071, 5.252866233537127, 1.9802576322774623, 1.7367258118884739, 5.349700065509082, 1.546721845155044, 7.015213840678293, 4.76001461967174, 3.141934479490626, 5.299838351719018, 4.4011101862744875, 12.074268020387484, 3.4789660846922876, 1.9696599455243191, 7.565644865490187, 10.43436905057781, 2.245354700189824, 2.21159630191637, 5.231620042820116, 4.77847156136558, 1.913365406748452, 8.975191168052087, 1.7235151326013674, 2.2004724053294766, 2.1195415796944683, 1.9981631242966231, 5.77215159512276, 1.9204069901905487, 1.6946815147426593, 1.709553156813753, 6.993156136995516, 1.7041280651362627, 1.952325117021635, 10.330556899726034, 5.870754878623028, 6.625667939540844, 4.486760168150585, 2.495008453932409, 6.786782669509292, 4.588961279730236, 7.80961012107483, 1.420651957378081, 5.444385661638089, 11.3414448627362, 3.392477369450465, 2.9115308244485103]",89756.0
Devin McCourty,"[17.8805791819049, 22.296727669388968, 11.604969159794587, 12.739792439954863, 16.175211360031884, 7.146881030562546, 3.7646214133857887, 13.583566128114976, 6.357842289174845, 18.340715121664278, 17.320309748089933, 19.565791219566528, 4.311225853911106, 5.506189371498675, 18.679441373724213, 13.729651732018535, 12.171913282581578, 10.577113414093898, 3.6484963271998274, 10.128066471719135, 5.47285536879818, 4.302619012839435, 4.667058045512052, 9.87532758068604, 5.835768578361882, 4.666267732734066, 21.67286781670291, 13.329420862316917, 4.25901015436814, 9.829248601969871, 8.127117562346028, 10.638943445992444, 6.872986251179222, 7.801856030417191, 6.952407501146272, 6.874671805507486, 7.601510825619723, 1.7202807042157904, 7.637997568132276, 4.63573729814566, 12.7747389393335, 2.0468232690759636, 6.376674353953491, 1.7234658275095567, 7.147676764793098, 4.983861057970641, 5.970822325287632, 11.688685193392644, 4.090403480595754, 3.0817249590399363]",494287.0
Dont'a Hightower,"[7.472847425605105, 8.343066097907142, 2.1390673007711576, 1.9265286339906194, 7.518546192316693, 7.167424898669498, 4.378856479777314, 4.89626121464698, 5.472883990328539, 5.258802339875707, 5.398524073100462, 6.575625964183682, 5.345909362514228, 5.530892614973966, 6.8657440670846395, 5.631038353467156, 3.2650249935654205, 7.243452812174939, 7.0834875347089605, 4.934858879834539, 5.884759236994731, 6.0043956110036225, 6.779387686248438, 3.8875840484584705, 9.673644192720309, 3.2878910365123573, 6.971658400186791, 3.9151758211358083, 2.3763934044667074, 3.3699037440766526, 3.922474096773378, 8.309416751061798]",2533057.0
Stephon Gilmore,"[9.944055916196508, 1.523091567555549, 1.5806590158081066, 6.279505644459895, 4.672648114092063, 1.6883313911138327, 1.3915276886406267, 6.737097013837632, 1.6381133411818818, 1.7305528402432162, 1.4137811276609809, 8.2759230656382, 1.6575633831713483, 2.8751912149582575, 12.359972825921039, 2.758606522693886, 1.2730683155799527, 7.762688903659637, 8.383966534664083, 4.9448334125042965, 1.4709107942034114, 1.3696187792989964, 6.201575874363662, 1.5754012175029066, 4.35295518139467, 1.5369145525194878, 2.413325646417775, 7.24522956560393, 2.5619154332450496, 6.045727348571262, 5.039788899262269, 1.4250578081743503, 1.480550195604037, 3.7805649212734207, 1.930756330057308, 2.176304050635451, 3.4893906926407996, 1.8306097907923407, 1.9187255794101337, 6.618837398186974, 1.865728894877544, 5.208918588213557, 1.5292162958030542, 2.3464357001949736, 4.118533002870494]",2533062.0
Duron Harmon,"[16.90015862008906, 15.459190440903559, 19.345340603605, 14.861417669687992, 17.799365485290544, 14.803507296288064, 14.389190115423668, 17.696009281811897, 17.373878994816664, 17.338857052018064, 21.930517646218586, 18.41936333487434, 16.76588381352397, 17.926738468599627, 11.597870047690442, 16.074227554161055, 12.007661944839299, 15.359452937634194, 17.80212004290566, 16.742893485573216, 19.457069692888105, 20.178036368667776, 11.624897026981417, 13.686313163661678, 13.96092799885948, 15.741673705354787, 19.057146156945354, 14.855424332902054, 16.134118409849272, 17.614134579121814, 16.95231303170691, 16.383008541321676, 16.510466036199727, 15.537911376557714, 17.558004530679035, 15.351706606238395, 11.968397891081917, 7.954022021221775, 17.89456511504261, 18.186391585660648, 14.911634164692508, 20.499515313472816]",2541243.0
Jonathan Jones,"[3.644165087221405, 2.5490621011296746, 8.062175823160322, 1.7200699677243048, 4.098912038032428, 3.208114951684514, 4.374764221846573, 3.8103540181113544, 2.74139044646031, 2.9855665684920374, 2.1700960188761957, 3.090172577780596, 6.212223135434471, 5.834766385710937, 4.519748363267278, 6.7833801612641285, 3.9427054243214075, 3.6627301538180403, 3.42451659090088, 2.4704417833858847, 3.8033743721513202, 2.582320110156896, 1.8571200655980207, 4.614780018704863, 4.528455418702555, 2.2030140350955403, 3.146949502726505, 4.074390884688717, 3.399399889472282, 3.3641484552849557, 3.822981114189204, 4.8078783137389465, 5.144875254835426, 4.826714230580268, 6.937673749563128, 4.238708588975704, 2.5037622791131837, 3.028520321697717, 4.061786335230559, 2.933383458944876]",2556571.0
Matthias Farley,"[1.922121582616788, 14.07379610420813, 12.84631515846341, 9.056456387413617, 8.125474094699982, 12.501442928723081, 14.43394129827433, 7.003924490343512, 11.582452054437386, 13.143559624774705, 13.3996255232498, 7.813048793597341, 14.758022989109808, 7.522462291638482, 11.349697425850502, 9.780327114990502, 13.713194605920453, 3.2722312114101784, 4.0671767994146, 13.451878953780797, 16.979968032217016]",2556429.0
Elandon Roberts,"[8.16477382334623, 2.3256432669891844, 8.536520202153946, 5.481963582758442, 5.753394784358419, 6.508443712279459, 5.782083884705143, 9.27755954137076, 8.629289735131687, 9.149957762069869, 8.823942784202547, 8.287161965791755, 7.72593856857688, 9.486685355497201, 7.568107796589578, 4.006017630841474, 9.77629350684082, 5.863470534311957, 5.47623611019181, 9.305676928868964, 4.1050371099279195, 7.227429646335926, 7.565378382748995, 7.205209100700076]",2556119.0
Chris Milton,"[6.823122195142254, 9.838826404624392, 11.38858037973139, 5.577429025504844, 3.076004476582901, 1.9929409747675022, 4.693671121310155, 4.437380615694854, 5.389273057969337, 4.351086027914774, 5.473367079620036, 1.9151790298089335]",2556394.0
Najee Goode,"[6.669657889439624, 8.155758469580785, 11.095651860501526, 4.9366468814227895, 4.974600936883562, 5.165842225571381, 6.9408338916141625, 5.488069699611656, 12.452656014127092, 8.479116044445712, 11.057462520172805, 10.572620324654551, 5.905871731197229, 4.9923184120735735, 9.913767939841248, 9.034718238954584, 5.625084142115056, 6.66202548541402, 8.401006879651806, 7.6541321466638825, 12.800699589444177]",2533016.0
John Simon,[6.898034587313102],2539280.0
George Odum,"[15.917772755694426, 9.824768261829009, 14.00353399018149]",2561131.0
Nicholas Grigsby,"[10.02086395280133, 9.649703416246403, 6.789490044068577, 10.256238654395428]",2556542.0
J.C. Jackson,"[10.306846073247641, 11.989070053257285, 4.084774730279244, 7.041110493507424]",2560754.0
Keion Crossen,"[4.066807746251285, 4.108016519263482, 5.957513657572105, 8.351944097349476]",2561157.0
Matt Milano,"[5.053320372343356, 7.050606965356819, 4.464295419643037, 7.424519617941155, 5.0538691285062685, 2.0025430894234155, 6.747790202067591, 4.073303448125742, 8.115664930335665, 7.769158877838269, 4.520766526675459, 6.429438589280167, 5.069078542766466, 8.173595923096416, 1.7965251483941802, 11.774732486460303, 5.856513412148804, 9.1532053261315]",2557969.0
Lorenzo Alexander,"[5.155639309893413, 3.968453684722249, 5.904205941812641, 2.8920194872882545, 5.004668404494114, 10.102817648566763, 7.317686037723021, 6.742372439070768, 3.4336260414305477, 5.897246597034855, 2.4644880503214113, 5.195922080240265, 6.567577121276634]",2506268.0
Jordan Poyer,"[13.934308036940404, 2.2561162977277616, 7.578911966760846, 21.5447313485627, 12.220255953948922, 3.757758840599754, 4.988440524358698, 5.060495566557177, 6.029716653955339, 11.94132394344163, 9.03424026079364, 11.432276532556001, 16.614195522048227, 14.535227420478085, 11.166086474803638, 14.244841206520046, 8.621075333567324, 9.953957659008518, 3.3442483084083183]",2539290.0
Dean Marlowe,"[17.432822558048603, 19.929452790016832, 15.32117702390874, 6.677198215953123, 14.623202748296178, 5.561092785903913, 14.912491132329333, 20.292681697767435, 17.27678487659273, 14.033748035159743, 19.29050291888164, 13.254790360081302, 14.197971155831112, 15.710309583597809, 15.29297570647214, 8.297680654388722, 14.846559906005199, 16.176402479653255, 10.66029685431478]",2553562.0
