nflId,name,med_coverage,average_coverage,numPlays
79848,Malcolm Jenkins,5.7841096034,6.7017636463,506
2495613,Corey Graham,14.6899481301,13.4054129118,322
2534832,Rodney McLeod,12.5377472508,12.3743535996,76
2552315,Jordan Hicks,6.5525969004,6.9531918798,343
2552689,Ronald Darby,6.5163287852,6.393531618,276
2555383,Jalen Mills,7.0402374488,6.7024865521,229
2558175,Nate Gerry,5.9872049507,6.0700080514,45
2556363,Kamu Grugier-Hill,6.1434242557,6.4548465591,124
2557958,Sidney Jones,4.8163512591,5.234834121,165
2539334,Desmond Trufant,5.2226695909,5.3270440495,480
2539653,Robert Alford,2.9494428533,3.8043385303,427
2543850,Ricardo Allen,11.7226423475,11.0442187519,107
2552301,Vic Beasley,5.2451550897,4.8450720608,345
2555162,Deion Jones,6.3082643603,6.403388785,155
2555255,De'Vondre Campbell,5.7354899345,5.7908712508,406
2555543,Keanu Neal,6.7303480986,7.055084268,17
2556445,Brian Poole,4.6643929937,4.9919601499,405
2557967,Duke Riley,6.096566525,6.2705391477,192
2558184,Damontae Kazee,15.2726082061,14.6427875461,438
2561132,Foye Oluokun,6.0240622582,5.8940670453,217
2559109,Deante Burton,3.3263577506,4.8851940987,33
2506268,Lorenzo Alexander,4.9352273293,5.0538090515,243
2539240,Micah Hyde,12.0617373475,11.9409436095,334
2539290,Jordan Poyer,12.2636083598,12.3733336496,383
2543851,Phillip Gaines,3.7335426218,4.5168124653,150
2557867,Tre'Davious White,4.8574892219,4.7314542905,369
2557969,Matt Milano,5.2995956262,5.9608040948,287
2560713,Tremaine Edmunds,6.5116859402,6.7125041164,355
2560766,Taron Johnson,4.0837787446,4.3634193766,181
4365,Brandon Carr,4.5129710692,4.6223474704,398
2495775,Eric Weddle,12.4337422199,12.378422107,450
2505660,Terrell Suggs,5.0109443634,5.0173028011,342
2540164,Tony Jefferson,10.5341093165,10.6984063701,355
2543464,C.J. Mosley,6.011179477,6.1463246328,390
2552279,Za'Darius Smith,4.8925674,4.7230992808,326
2555378,Tavon Young,3.9040915334,4.2640816088,284
2556642,Patrick Onwuasor,6.0658817489,6.2342508699,178
2558067,Marlon Humphrey,3.502724524,4.1294447263,328
2555505,Matt Judon,4.6996859865,4.6806539735,300
2558990,Patrick Ricard,5.2171090504,5.026812725,17
2508004,Anthony Levine,4.8046278686,5.0464565616,155
2558248,Chuck Clark,7.4738306675,8.9386676341,115
2507817,Rafael Bush,4.6368862881,5.763611161,181
2557841,Tim Williams,4.8275604924,4.6933794293,55
2560947,Kenny Young,5.5264377522,5.71048093,151
2558166,Tyus Bowser,5.218082736,4.9191151669,73
2560963,Anthony Averett,3.8392683029,4.5592093872,32
2555178,Maurice Canady,5.0578088967,4.2935059219,5
2561301,Chris Board,6.1001998476,6.5179253773,5
2543637,Terrance Mitchell,6.9546893226,6.3256205313,189
2543720,Christian Kirksey,5.5025421174,5.6617258079,203
2552389,Damarious Randall,16.0931522945,14.3774349819,461
2555166,Joe Schobert,6.5455126601,6.7600327179,388
2556475,Briean Boddy-Calhoun,4.8162994117,6.9817958623,307
2557980,Jabrill Peppers,6.6764539334,9.1146210163,324
2560916,Denzel Ward,4.9491573489,5.0899806856,373
496733,Joe Haden,4.5148344572,4.6099466779,430
2539978,Jon Bostic,5.1990170499,5.3800151398,197
2540221,Vince Williams,5.4028206174,5.4927658704,320
2552289,Bud Dupree,5.0215851436,4.976214124,392
2555344,Artie Burns,4.8314618032,5.0084655141,127
2555386,Sean Davis,15.0632630487,14.039203982,435
2558064,T.J. Watt,4.8254954863,4.7152045107,401
2560712,Terrell Edmunds,10.1251847173,10.587983443,441
2556559,Mike Hilton,4.7538922857,5.015433759,303
496727,Morgan Burnett,6.0993666994,6.4776719592,193
2539311,Jamie Collins,5.5388891919,5.7609732103,437
2555540,Derrick Kindred,6.9270104404,9.5366544788,192
2560964,Genard Avery,5.0600726876,4.9688280513,331
2552266,Anthony Chickillo,4.9048732182,4.7614786622,135
2558849,Cameron Sutton,3.3917360862,4.0349151091,137
2552386,Clayton Geathers,10.7004469629,10.4186815921,313
2557961,Quincy Wilson,4.8162582529,5.1790226035,206
2558060,Malik Hooker,14.2877253664,14.2970183546,393
2558108,Nate Hairston,4.7641019656,5.0897043927,174
2558976,Kenny Moore,3.7911464473,4.2461956143,396
2560789,Darius Leonard,5.81933157,6.0850130104,409
2560816,Skai Moore,7.2535409376,6.7831057617,23
2561155,Zaire Franklin,6.238944557,6.3797798085,73
2533060,Dre Kirkpatrick,4.4007139952,4.6841647841,353
2539233,Shawn Williams,10.6542894028,10.6417821859,420
2543474,Darqueze Dennard,3.6668911592,4.1538507527,328
2543814,Preston Brown,6.0067457189,6.0933296284,148
2555528,Nick Vigil,5.2314929109,5.5994717198,319
2556367,William Jackson,2.8705548742,4.2808181383,473
2560970,Jessie Bates,13.5957443057,13.2660776773,495
2558801,Jordan Evans,5.7076639158,5.8878420875,184
2555355,Clayton Fejedelem,10.8485682074,10.9879850281,97
2533016,Najee Goode,6.6757060189,6.8083477681,28
2556429,Matthias Farley,12.0696622758,11.3568028469,71
2558851,Anthony Walker,6.6463014013,6.711269081,283
2558982,Hardy Nickerson,6.0846733939,6.3157772083,232
496739,Reshad Jones,13.6386344786,12.9905249924,301
2539309,T.J. McDonald,10.6295423304,10.3158066105,372
2539935,Kiko Alonso,6.5880364019,6.8094616982,388
2552434,Bobby McCain,4.7517141852,4.8564946178,311
2555539,Xavien Howard,5.3498006807,5.2203533463,321
2558070,Raekwon McMillan,6.337549576,6.3601146067,270
2560966,Jerome Baker,5.4073925511,5.6580833582,267
2560725,Minkah Fitzpatrick,4.5872836086,6.1092711313,370
2354,Wesley Woodyard,5.9450086111,6.1093861542,306
71423,Brian Orakpo,5.0854225961,5.0109359887,236
2539320,Kenny Vaccaro,12.8962988286,11.896639222,306
2540013,Will Compton,6.260786515,6.1312648465,27
2540162,Logan Ryan,4.3650240921,4.6905475799,357
2550613,Malcolm Butler,3.1531431628,4.1355447556,365
2555158,Kevin Byard,10.4303759123,10.3397253744,424
2555339,Kamalei Correa,5.0171099544,4.8267046298,134
496828,Derrick Morgan,4.7096285427,4.5746951986,218
2558005,Jayon Brown,5.9415289815,6.168876214,367
2558065,Adoree' Jackson,6.0160125051,5.6491926646,391
2561328,Sharif Finch,4.6231303913,4.4606585682,68
2555320,Aaron Wallace,6.4762653465,6.4762653465,1
2541539,Daren Bates,5.7825620979,6.1894505097,20
