nflId,name,YACNTR,Missed Opps,weeks
79848,Malcolm Jenkins,57.01,1,[1]
2495613,Corey Graham,57.31,1,[1]
2534832,Rodney McLeod,45.74,0,[1]
2552315,Jordan Hicks,26.47,0,[1]
2552689,Ronald Darby,54.23,0,[1]
2558175,Nate Gerry,32.08,0,[1]
2555383,Jalen Mills,43.33,1,[1]
2557958,Sidney Jones,25.05,0,[1]
2539334,Desmond Trufant,13.56,0,[1]
2543850,Ricardo Allen,21.36,0,[1]
2552301,Vic Beasley,9.18,0,[1]
2555162,Deion Jones,11.12,0,[1]
2555255,De'Vondre Campbell,14.01,0,[1]
2555543,Keanu Neal,6.56,1,[1]
2556445,Brian Poole,6.17,0,[1]
2539653,Robert Alford,7.07,0,[1]
2557967,Duke Riley,3.86,0,[1]
2558184,Damontae Kazee,6.68,0,[1]
2556363,Kamu Grugier-Hill,0.34,0,[1]
2559109,Deante Burton,5.52,0,[1]
2506268,Lorenzo Alexander,29.48,0,[1]
2539240,Micah Hyde,30.58,0,[1]
2539290,Jordan Poyer,57.35,1,[1]
2543851,Phillip Gaines,10.37,0,[1]
2557867,Tre'Davious White,23.87,0,[1]
2557969,Matt Milano,41.22,0,[1]
2560713,Tremaine Edmunds,25.24,0,[1]
2560766,Taron Johnson,7.67,0,[1]
4365,Brandon Carr,6.55,0,[1]
2495775,Eric Weddle,0.17,0,[1]
2505660,Terrell Suggs,2.69,0,[1]
2540164,Tony Jefferson,6.95,1,[1]
2543464,C.J. Mosley,4.45,0,[1]
2552279,Za'Darius Smith,4.28,0,[1]
2555378,Tavon Young,8.34,0,[1]
2556642,Patrick Onwuasor,3.45,0,[1]
2558067,Marlon Humphrey,5.95,0,[1]
2555505,Matt Judon,4.7,0,[1]
2558990,Patrick Ricard,5.42,0,[1]
2507817,Rafael Bush,24.82,1,[1]
2557841,Tim Williams,5.6,0,[1]
2558248,Chuck Clark,2.66,0,[1]
2560947,Kenny Young,0,0,[1]
2558166,Tyus Bowser,8.28,0,[1]
2508004,Anthony Levine,0,0,[1]
2560963,Anthony Averett,7.21,0,[1]
2561301,Chris Board,6.29,0,[1]
2555178,Maurice Canady,3.56,0,[1]
2543637,Terrance Mitchell,77.77,0,[1]
2543720,Christian Kirksey,122.36,1,[1]
2552389,Damarious Randall,89.9,0,[1]
2555166,Joe Schobert,114.65,0,[1]
2556475,Briean Boddy-Calhoun,55.43,1,[1]
2557980,Jabrill Peppers,18.11,0,[1]
2560916,Denzel Ward,124.25,2,[1]
496733,Joe Haden,21.82,0,[1]
2540221,Vince Williams,46.92,0,[1]
2552289,Bud Dupree,28.06,0,[1]
2555344,Artie Burns,35.21,1,[1]
2555386,Sean Davis,21.92,0,[1]
2558064,T.J. Watt,38.19,1,[1]
2560712,Terrell Edmunds,28.17,1,[1]
2539311,Jamie Collins,15.38,1,[1]
2555540,Derrick Kindred,94.57,0,[1]
2560964,Genard Avery,58.2,0,[1]
496727,Morgan Burnett,29.96,0,[1]
2539978,Jon Bostic,33.2,2,[1]
2556559,Mike Hilton,35.25,2,[1]
2558849,Cameron Sutton,5.72,0,[1]
2552266,Anthony Chickillo,0,0,[1]
2552386,Clayton Geathers,44.74,1,[1]
2557961,Quincy Wilson,17.49,0,[1]
2558060,Malik Hooker,11.96,1,[1]
2558108,Nate Hairston,64.52,1,[1]
2558976,Kenny Moore,49.3,0,[1]
2560789,Darius Leonard,66.85,0,[1]
2560816,Skai Moore,40.72,0,[1]
2561155,Zaire Franklin,8.42,0,[1]
2539233,Shawn Williams,1.86,0,[1]
2543474,Darqueze Dennard,69.76,1,[1]
2543814,Preston Brown,54.78,0,[1]
2555528,Nick Vigil,88.42,0,[1]
2556367,William Jackson,73.2,0,[1]
2560970,Jessie Bates,77.12,0,[1]
2533060,Dre Kirkpatrick,96.36,2,[1]
2555355,Clayton Fejedelem,85.34,0,[1]
2558801,Jordan Evans,31.5,0,[1]
2533016,Najee Goode,4.96,1,[1]
2556429,Matthias Farley,12.91,0,[1]
2558851,Anthony Walker,23.05,1,[1]
2558982,Hardy Nickerson,17.9,0,[1]
496739,Reshad Jones,40.25,2,[1]
2539309,T.J. McDonald,47.5,0,[1]
2539935,Kiko Alonso,72.87,0,[1]
2552434,Bobby McCain,32.82,0,[1]
2555539,Xavien Howard,43.75,0,[1]
2558070,Raekwon McMillan,33.04,0,[1]
2560966,Jerome Baker,42.87,0,[1]
2560725,Minkah Fitzpatrick,49.34,1,[1]
2354,Wesley Woodyard,46.06,0,[1]
71423,Brian Orakpo,15.59,0,[1]
2539320,Kenny Vaccaro,32.08,0,[1]
2540013,Will Compton,25.7,0,[1]
2540162,Logan Ryan,36.76,0,[1]
2550613,Malcolm Butler,13.53,0,[1]
2555158,Kevin Byard,38.13,0,[1]
496828,Derrick Morgan,5.24,0,[1]
2555339,Kamalei Correa,35.75,0,[1]
2558005,Jayon Brown,12,0,[1]
2558065,Adoree' Jackson,15.84,0,[1]
2561328,Sharif Finch,11.89,0,[1]
2555320,Aaron Wallace,3.29,0,[1]
2541539,Daren Bates,0,0,[1]
2555551,LeShaun Sims,0.18,0,[1]
2559043,Chase Allen,0.49,0,[1]
2559053,Torry McTyer,7.4,0,[1]
496735,Kareem Jackson,15.67,0,[1]
2495872,Johnathan Joseph,17.66,3,[1]
2533049,Whitney Mercilus,33.03,0,[1]
2540180,Tyrann Mathieu,24.48,0,[1]
2543501,Aaron Colvin,17.8,0,[1]
2552261,Kevin Johnson,42.27,0,[1]
2560851,Justin Reid,0.12,0,[1]
71251,Patrick Chung,31.9,1,[1]
494287,Devin McCourty,30.19,0,[1]
2533057,Dont'a Hightower,10.16,0,[1]
2533062,Stephon Gilmore,11.63,0,[1]
2541243,Duron Harmon,16.59,0,[1]
2543699,Kyle Van Noy,0.26,0,[1]
2561143,Ja'Whaun Bentley,10.03,0,[1]
2552490,Benardrick McKinney,23.99,1,[1]
2558094,Zach Cunningham,11.42,0,[1]
2559152,Dylan Cole,11.58,0,[1]
2552255,Eric Rowe,10.85,0,[1]
2556119,Elandon Roberts,14.25,0,[1]
2556571,Jonathan Jones,10.84,0,[1]
89756,Jason McCourty,0,0,[1]
2495272,Chris Conte,76.57,1,[1]
2532828,Lavonte David,102.66,0,[1]
2552592,Kwon Alexander,58.46,1,[1]
2555299,Vernon Hargreaves,76.97,1,[1]
2555552,Ryan Smith,26.56,1,[1]
2557945,Justin Evans,49.97,0,[1]
2550565,Adarius Taylor,59.08,1,[1]
2561039,Carlton Davis,59.51,1,[1]
2508084,Patrick Robinson,54.33,1,[1]
2533008,Demario Davis,55.72,0,[1]
2555530,Vonn Bell,26.19,1,[1]
2558061,Marshon Lattimore,44.04,2,[1]
2558163,Alex Anzalone,42.5,1,[1]
2558847,Marcus Williams,17.5,0,[1]
2556735,Ken Crawley,54.85,0,[1]
494261,Kurt Coleman,34.43,1,[1]
2560884,M.J. Stewart,4.55,1,[1]
2539277,Manti Te'o,4.8,0,[1]
2539982,A.J. Klein,25.4,0,[1]
71197,Connor Barwin,23.96,0,[1]
2539338,B.W. Webb,15.92,0,[1]
2540143,Alec Ogletree,35.37,1,[1]
2541792,Ray-Ray Armstrong,40.34,2,[1]
2543738,Kareem Martin,37.27,0,[1]
2552454,Landon Collins,35.45,1,[1]
2553822,Curtis Riley,15.34,0,[1]
2555277,Eli Apple,42.65,0,[1]
2532875,Janoris Jenkins,11.74,1,[1]
2561015,Lorenzo Carter,3.91,0,[1]
494259,Barry Church,16.49,0,[1]
2532848,Tashaun Gipson,48.97,0,[1]
2541162,A.J. Bouye,46.32,2,[1]
2543711,Telvin Smith,47.79,0,[1]
2555280,Jalen Ramsey,59.33,2,[1]
2555329,Myles Jack,35.74,0,[1]
2535687,Michael Thomas,10.36,0,[1]
2561008,Ronnie Harrison,12.36,1,[1]
2539237,D.J. Hayden,35.44,0,[1]
2555522,B.J. Goodson,2.65,0,[1]
2539662,Lerentee McCray,52.9,0,[1]
2495504,Patrick Peterson,52.23,0,[1]
2495807,Antoine Bethea,53.05,1,[1]
2530491,Josh Bynes,88.92,0,[1]
2539932,Jamar Taylor,79.93,0,[1]
2543769,Deone Bucannon,93.27,0,[1]
2543830,Tre Boston,88.64,1,[1]
2557887,Haason Reddick,13.14,0,[1]
2558009,Budda Baker,74.55,0,[1]
2495201,Pernell McPhee,2.6,0,[1]
2495281,Mason Foster,23.9,0,[1]
2532920,Josh Norman,26.85,0,[1]
2539943,D.J. Swearinger,26.73,1,[1]
2553796,Quinton Dunbar,27.03,1,[1]
2557853,Ryan Anderson,4.28,0,[1]
2558133,Montae Nicholson,14.29,0,[1]
2558136,Fabian Moreau,41.28,1,[1]
2495190,Ryan Kerrigan,22.46,0,[1]
2552276,Preston Smith,11.26,0,[1]
2557880,Josh Harvey-Clemons,14.71,1,[1]
2532804,Zach Brown,16.09,0,[1]
2553687,Zach Vigil,13.17,0,[1]
2560886,Greg Stroman,2.62,0,[1]
496937,Sean Lee,47.34,0,[1]
2541832,Jeff Heath,25.23,0,[1]
2552568,Byron Jones,38.02,0,[1]
2552686,Damien Wilson,18.77,0,[1]
2555310,Jaylon Smith,53.99,0,[1]
2555536,Kavon Frazier,46.25,1,[1]
2557840,Chidobe Awuzie,28.92,0,[1]
80668,Captain Munnerlyn,22.42,0,[1]
2505708,Mike Adams,31.36,0,[1]
2533056,Luke Kuechly,34.59,0,[1]
2552447,Shaq Thompson,28.68,0,[1]
2555175,James Bradberry,20.53,0,[1]
2560753,Donte Jackson,18.36,0,[1]
2495339,Da'Norris Searcy,14.13,0,[1]
2555531,Anthony Brown,24.27,1,[1]
2560908,Leighton Vander Esch,3.48,0,[1]
2553441,David Mayo,0.77,0,[1]
2553815,Justin March-Lillard,0,0,[1]
2499257,Colin Jones,11.27,0,[1]
80431,Clay Matthews,24.65,0,[1]
2506789,Tramon Williams,34.88,1,[1]
2533048,Nick Perry,22.36,0,[1]
2543470,Ha Ha Clinton-Dix,38.7,1,[1]
2555161,Blake Martinez,33.24,0,[1]
2556480,Kentrell Brice,30.25,1,[1]
2557996,Kevin King,35.29,1,[1]
2560755,Josh Jackson,18.48,0,[1]
2560952,Jaire Alexander,17.41,0,[1]
2555160,Antonio Morrison,12.27,0,[1]
2556537,Reggie Gilbert,11.27,0,[1]
2495108,Prince Amukamara,71.5,2,[1]
2532961,Danny Trevathan,129.48,0,[1]
2543681,Kyle Fuller,127.56,3,[1]
2552385,Adrian Amos,120.8,1,[1]
2555285,Leonard Floyd,127.27,0,[1]
2555288,Nick Kwiatkoski,50.48,0,[1]
2558176,Eddie Jackson,60.26,0,[1]
2552697,Jermaine Whitehead,22.13,0,[1]
2541202,Marcus Cooper,58.24,0,[1]
2553500,Bryce Callahan,130.73,0,[1]
2555340,Kyler Fackrell,0,0,[1]
2495101,Sam Acho,0,0,[1]
2560877,Roquan Smith,5.16,0,[1]
71441,Glover Quin,17.68,0,[1]
2534830,Tavon Wilson,39.98,2,[1]
2540288,Darius Slay,23.68,0,[1]
2543869,Devon Kennard,13.57,0,[1]
2552262,Quandre Diggs,23.02,0,[1]
2557855,Jarrad Davis,31.86,1,[1]
2557924,Jalen Reeves-Maybin,7.02,0,[1]
2558821,Jamal Agnew,11.72,1,[1]
2543872,Nevin Lawson,50.21,0,[1]
2550572,Christian Jones,23.47,0,[1]
2557955,Teez Tabor,0.23,0,[1]
2495343,Buster Skrine,42.14,0,[1]
2532877,Trumaine Johnson,29.47,0,[1]
2533059,Morris Claiborne,44.28,1,[1]
2543597,Avery Williamson,67.47,0,[1]
2555256,Jordan Jenkins,52.73,0,[1]
2555322,Darron Lee,54.58,0,[1]
2557979,Jamal Adams,51.29,0,[1]
2556617,Doug Middleton,50.63,0,[1]
2553353,Darryl Roberts,24.56,1,[1]
2561366,Frankie Luvu,36.48,0,[1]
2540219,J.J. Wilcox,2.54,0,[1]
2552486,Leonard Williams,1.47,0,[1]
2552494,Eli Harold,0,0,[1]
2560822,Parry Nickerson,0.1,0,[1]
2553657,Neville Hewitt,14.31,0,[1]
2549896,Marquis Flowers,1.69,1,[1]
1302,Aqib Talib,95.5,1,[1]
2543487,Dominique Easley,34.41,0,[1]
2543492,Lamarcus Joyner,93.96,0,[1]
2552320,Ramik Wilson,37.44,0,[1]
2552488,Marcus Peters,78.15,0,[1]
2556593,Cory Littleton,103.58,0,[1]
2558183,John Johnson,69.38,0,[1]
2540197,Nickell Robey-Coleman,67.67,1,[1]
2556277,Marqui Christian,47.56,0,[1]
2558830,Samson Ebukam,45.38,0,[1]
2495153,Marcus Gilchrist,44.44,1,[1]
2495617,Leon Hall,42.27,0,[1]
2507167,Reggie Nelson,33.16,0,[1]
2532986,Tahir Whitehead,39.8,0,[1]
2541200,Rashaan Melvin,21.37,1,[1]
2558062,Gareon Conley,17.89,0,[1]
2506353,Derrick Johnson,7.55,0,[1]
2553722,Matt Longacre,41.25,0,[1]
306,Dominique Rodgers-Cromartie,24.72,0,[1]
2557972,Marquel Lee,22.15,0,[1]
2555294,Shilique Calhoun,4.14,0,[1]
2555342,Karl Joseph,0.93,0,[1]
