id,name,totalYAOI,YAOIperGame,MOperGame,position
79848,Malcolm Jenkins,1137.37,71.085625,0.6875,SS
2495613,Corey Graham,515.95,39.6884615385,0.4615384615,FS
2534832,Rodney McLeod,170.39,56.7966666667,0,FS
2552315,Jordan Hicks,826.93,68.9108333333,0.25,MLB
2552689,Ronald Darby,597.09,66.3433333333,0.7777777778,CB
2558175,Nate Gerry,117.61,14.70125,0,LB
2555383,Jalen Mills,488.37,61.04625,0.75,CB
2557958,Sidney Jones,384.48,42.72,0.3333333333,CB
2539334,Desmond Trufant,855.63,53.476875,0.75,CB
2543850,Ricardo Allen,174.43,58.1433333333,0.3333333333,SS
2552301,Vic Beasley,550.11,34.381875,0.0625,DE
2555162,Deion Jones,264.96,44.16,0.3333333333,MLB
2555255,De'Vondre Campbell,850.6,53.1625,0.25,OLB
2555543,Keanu Neal,6.56,6.56,1,FS
2556445,Brian Poole,718.72,44.92,0.375,CB
2539653,Robert Alford,580.99,38.7326666667,0.8666666667,CB
2557967,Duke Riley,403.03,31.0023076923,0.3846153846,OLB
2558184,Damontae Kazee,589.9,36.86875,0.1875,SS
2556363,Kamu Grugier-Hill,299.24,18.7025,0.1875,OLB
2559109,Deante Burton,75.55,37.775,0.5,CB
2506268,Lorenzo Alexander,393.92,26.2613333333,0,OLB
2539240,Micah Hyde,468.17,33.4407142857,0.5,SS
2539290,Jordan Poyer,585.41,36.588125,0.375,FS
2543851,Phillip Gaines,156.52,19.565,0,CB
2557867,Tre'Davious White,576.35,36.021875,0.375,CB
2557969,Matt Milano,507.02,39.0015384615,0.1538461538,OLB
2560713,Tremaine Edmunds,676.09,45.0726666667,0.1333333333,LB
2560766,Taron Johnson,275.39,25.0354545455,0.2727272727,CB
4365,Brandon Carr,604.2,37.7625,0.75,CB
2495775,Eric Weddle,506.21,33.7473333333,0.3333333333,FS
2505660,Terrell Suggs,498.36,31.1475,0.1875,OLB
2540164,Tony Jefferson,606.18,43.2985714286,0.7142857143,SS
2543464,C.J. Mosley,682.84,52.5261538462,0.6153846154,ILB
2552279,Za'Darius Smith,583.23,36.451875,0.0625,OLB
2555378,Tavon Young,387.78,27.6985714286,0.6428571429,CB
2556642,Patrick Onwuasor,180.55,12.0366666667,0.0666666667,ILB
2558067,Marlon Humphrey,458.15,35.2423076923,0.4615384615,CB
2555505,Matt Judon,404.53,25.283125,0.0625,OLB
2558990,Patrick Ricard,14.09,2.818,0,FB
2507817,Rafael Bush,368.48,28.3446153846,0.3846153846,SS
2557841,Tim Williams,56.76,8.1085714286,0,OLB
2558248,Chuck Clark,57.32,5.732,0,FS
2560947,Kenny Young,274.44,17.1525,0.125,LB
2558166,Tyus Bowser,110.37,9.1975,0,OLB
2508004,Anthony Levine,286.82,17.92625,0.1875,DB
2560963,Anthony Averett,49.46,12.365,0,CB
2561301,Chris Board,6.29,6.29,0,LB
2555178,Maurice Canady,3.56,3.56,0,CB
2543637,Terrance Mitchell,443.83,55.47875,0.5,CB
2543720,Christian Kirksey,489.47,69.9242857143,0.5714285714,OLB
2552389,Damarious Randall,701.62,46.7746666667,0.4,CB
2555166,Joe Schobert,782.7,60.2076923077,0.2307692308,MLB
2556475,Briean Boddy-Calhoun,522.63,40.2023076923,0.5384615385,CB
2557980,Jabrill Peppers,499.35,31.209375,0.125,FS
2560916,Denzel Ward,637.04,49.0030769231,0.6153846154,CB
496733,Joe Haden,691.68,46.112,0.6666666667,CB
2540221,Vince Williams,509.6,36.4,0.2142857143,ILB
2552289,Bud Dupree,508.61,31.788125,0.1875,OLB
2555344,Artie Burns,217.45,27.18125,0.375,CB
2555386,Sean Davis,518.22,34.548,0.4,SS
2558064,T.J. Watt,642.01,40.125625,0.1875,OLB
2560712,Terrell Edmunds,544.87,34.054375,0.375,S
2539311,Jamie Collins,930.2,58.1375,0.75,OLB
2555540,Derrick Kindred,466.64,29.165,0.0625,SS
2560964,Genard Avery,624.58,39.03625,0,LB
496727,Morgan Burnett,338.54,30.7763636364,0.1818181818,SS
2539978,Jon Bostic,427.75,28.5166666667,0.4666666667,ILB
2556559,Mike Hilton,416.93,27.7953333333,0.5333333333,CB
2558849,Cameron Sutton,187.92,18.792,0.5,CB
2552266,Anthony Chickillo,142.02,8.87625,0,OLB
2552386,Clayton Geathers,549.65,45.8041666667,0.3333333333,FS
2557961,Quincy Wilson,401.63,30.8946153846,0.0769230769,CB
2558060,Malik Hooker,557.7,39.8357142857,0.2142857143,FS
2558108,Nate Hairston,267.22,29.6911111111,0.4444444444,CB
2558976,Kenny Moore,750.01,50.0006666667,0.6,CB
2560789,Darius Leonard,758.52,50.568,0.1333333333,LB
2560816,Skai Moore,104.47,20.894,0,ILB
2561155,Zaire Franklin,164.1,16.41,0,ILB
2539233,Shawn Williams,931.54,58.22125,0.75,SS
2543474,Darqueze Dennard,708.28,54.4830769231,1.0769230769,CB
2543814,Preston Brown,387.5,55.3571428571,0.1428571429,MLB
2555528,Nick Vigil,699.05,63.55,0.2727272727,OLB
2556367,William Jackson,866.8,54.175,0.75,CB
2560970,Jessie Bates,945.09,59.068125,0.0625,S
2533060,Dre Kirkpatrick,864.38,66.4907692308,1.3076923077,CB
2555355,Clayton Fejedelem,200.04,20.004,0.3,FS
2558801,Jordan Evans,393.84,28.1314285714,0.2857142857,OLB
2533016,Najee Goode,85.2,14.2,0.3333333333,OLB
2556429,Matthias Farley,66.54,13.308,0,SS
2558851,Anthony Walker,551.91,36.794,0.2,ILB
2558982,Hardy Nickerson,505.82,36.13,0.0714285714,MLB
496739,Reshad Jones,616.44,47.4184615385,0.6153846154,SS
2539309,T.J. McDonald,981.62,70.1157142857,0.5714285714,SS
2539935,Kiko Alonso,1187.59,79.1726666667,0.4666666667,OLB
2552434,Bobby McCain,807.28,57.6628571429,0.6428571429,CB
2555539,Xavien Howard,846.91,70.5758333333,0.9166666667,CB
2558070,Raekwon McMillan,831.81,51.988125,0.375,LB
2560966,Jerome Baker,688.78,43.04875,0.25,LB
2560725,Minkah Fitzpatrick,845.69,52.855625,0.5,S
2354,Wesley Woodyard,643.06,45.9328571429,0.6428571429,ILB
71423,Brian Orakpo,334.77,25.7515384615,0,OLB
2539320,Kenny Vaccaro,441.33,33.9484615385,0.4615384615,SS
2540013,Will Compton,57.34,11.468,0,ILB
2540162,Logan Ryan,576.69,41.1921428571,0.5714285714,CB
2550613,Malcolm Butler,410.79,25.674375,0.4375,CB
2555158,Kevin Byard,611.83,38.239375,0.4375,FS
496828,Derrick Morgan,327.64,25.2030769231,0,OLB
2555339,Kamalei Correa,299.54,23.0415384615,0,ILB
2558005,Jayon Brown,434,27.125,0.125,ILB
2558065,Adoree' Jackson,504.81,31.550625,0.4375,CB
2561328,Sharif Finch,75.31,5.3792857143,0,OLB
2555320,Aaron Wallace,3.29,3.29,0,OLB
2541539,Daren Bates,34.13,8.5325,0,ILB
2555551,LeShaun Sims,164.71,16.471,0.1,CB
2559043,Chase Allen,0.49,0.245,0,OLB
2559053,Torry McTyer,348.69,29.0575,0.25,CB
496735,Kareem Jackson,791.34,49.45875,0.75,CB
2495872,Johnathan Joseph,521.97,37.2835714286,0.5,CB
2533049,Whitney Mercilus,752.97,47.060625,0.125,OLB
2540180,Tyrann Mathieu,865.41,54.088125,0.5,FS
2543501,Aaron Colvin,409.35,51.16875,0.125,CB
2552261,Kevin Johnson,42.27,42.27,0,CB
2560851,Justin Reid,614.58,38.41125,0.3125,SS
71251,Patrick Chung,740.64,49.376,0.7333333333,SS
494287,Devin McCourty,732.63,45.789375,0.8125,FS
2533057,Dont'a Hightower,664.9,44.3266666667,0.2,MLB
2533062,Stephon Gilmore,726.27,45.391875,0.5,CB
2541243,Duron Harmon,380.5,23.78125,0.4375,FS
2543699,Kyle Van Noy,740.35,46.271875,0.125,OLB
2561143,Ja'Whaun Bentley,48.58,16.1933333333,0,LB
2552490,Benardrick McKinney,742.9,46.43125,0.4375,ILB
2558094,Zach Cunningham,729.33,52.095,0.7142857143,ILB
2559152,Dylan Cole,148.11,21.1585714286,0,ILB
2552255,Eric Rowe,63.39,15.8475,0.25,CB
2556119,Elandon Roberts,311.81,19.488125,0.125,MLB
2556571,Jonathan Jones,583.87,38.9246666667,0.4,CB
89756,Jason McCourty,802.61,50.163125,0.8125,CB
2495272,Chris Conte,113.08,37.6933333333,0.3333333333,SS
